review_user_id,gmap_id,business_name,municipality,rating,review_text,has_response,label_llama3,label_gpt4omini,label_claude,LLM_label,label_source,needs_human,final_label
106529047411875970239,0x89c8c31763c3b8f1:0x586c33b6b283a11a,Lovedraft's Brewing Co,Mechanicsburg,4,Hours are wrong on the google website. This is the 2nd time we showed up when it said they were open and they still had the doors locked. . Please fix your website on google. This is possible through the google business page. This has been Edited after showing up later when they did open. Food was great and beer were great. Will be back again.,TRUE,YES,YES,nan,YES,llama_gpt4omini,FALSE,YES
103175929874990989736,0x89c8c31763c3b8f1:0x586c33b6b283a11a,Lovedraft's Brewing Co,Mechanicsburg,1,"Beer was warm.
Lacked depth of flavor.",TRUE,NO,MAYBE,YES,,,TRUE,MAYBE
102626484943773130740,0x89c8c31763c3b8f1:0x586c33b6b283a11a,Lovedraft's Brewing Co,Mechanicsburg,1,"Food was ice cold.
Very salty.",TRUE,NO,NO,nan,NO,llama_gpt4omini,FALSE,NO
111025020778910458130,0x89c6b09f3a67fcbf:0xd380b8ccb8d0b5ad,Bill's Best,Glenside,4,Cool little local brewery. From the makers of Bills Best BBQ sauce. Beers are very good. Much better than I have had any any local brewery. They serve PA alcohols and homemade sandwiches. Very small but will expand with outside seating. Owners are very friendly local people. It has a cool interior and a funky vibe. I will return very soon.,TRUE,NO,NO,nan,NO,llama_gpt4omini,FALSE,NO
108172971684698517601,0x89c691ed475ec5d5:0x7f8e51b73d44dfad,The Soundbank,Phoenixville,3,"This place has a chance for opportunity, the Chefs sauces are delightful, and his recipes are soulful. The owner's love for music 👍.  Hope to see it grow. Good luck guys",TRUE,MAYBE,MAYBE,nan,MAYBE,llama_gpt4omini,FALSE,MAYBE
112439621526579558188,0x89c691ed475ec5d5:0x7f8e51b73d44dfad,The Soundbank,Phoenixville,4,Food was wonderful. Emily was sweetb and wonderful.,TRUE,NO,NO,nan,NO,llama_gpt4omini,FALSE,NO
107744263376349756076,0x89c691ed475ec5d5:0x7f8e51b73d44dfad,The Soundbank,Phoenixville,4,Nice place for music off the main area of phoenixville.  Decent food but drink prices were pretty expensive.,TRUE,NO,MAYBE,MAYBE,MAYBE,claude_tiebreak,FALSE,MAYBE
100392766683496929992,0x89c8e93f97abf03f:0xd95b0dd6a1a8b573,Wolf Brewing Co.,Mechanicsburg,4,"Really nice place. Great outdoor area and pet friendly is awesome.
$7.00 pints are a little pricey.
Menu is limited but hopefully will improve as they ramp up.",TRUE,MAYBE,MAYBE,nan,MAYBE,llama_gpt4omini,FALSE,MAYBE
104275373856340582923,0x89c8e93f97abf03f:0xd95b0dd6a1a8b573,Wolf Brewing Co.,Mechanicsburg,3,"Atmosphere and beer were great. The food was bland, lacked seasoning and not worth the time to wait for a table.  Go for the beer and skip the food. I had the chicken and waffle sandwich with fries and an app of poutine that tasted of potato and flour.",TRUE,NO,NO,nan,NO,llama_gpt4omini,FALSE,NO
113968619786325538080,0x8834f34765c41efd:0x804fcf4e4bc4cc5a,1700 Penn Ave,Pittsburgh,4,Cool place. The outside seating with the fires and heaters is great. The only downside is the price. They're charging like $8-9 for a beer and they're all either 12oz cans or these small drafts. Helltown makes good beer but it's the only option there. We would have stayed and hung out longer but we didn't want to spend $50 on 5 or 6 beers.,TRUE,MAYBE,MAYBE,nan,MAYBE,llama_gpt4omini,FALSE,MAYBE
